
Episode 449 | Reward: -20.24 | Steps: 5025
Episode 450 | Reward: -9.17 | Steps: 5032
Episode 451 | Reward: -10.15 | Steps: 5039
Episode 452 | Reward: -13.16 | Steps: 5043
Episode 453 | Reward: -25.25 | Steps: 5057
Episode 454 | Reward: -12.21 | Steps: 5062
Episode 455 | Reward: -18.23 | Steps: 5067
Episode 456 | Reward: -29.24 | Steps: 5082
Episode 457 | Reward: -25.15 | Steps: 5097
Episode 458 | Reward: -13.15 | Steps: 5112
Episode 459 | Reward: -11.13 | Steps: 5117
Episode 460 | Reward: -33.17 | Steps: 5132
Episode 461 | Reward: -13.15 | Steps: 5137
Episode 462 | Reward: -20.18 | Steps: 5152
Episode 463 | Reward: -30.24 | Steps: 5165
Episode 464 | Reward: -14.15 | Steps: 5176
Episode 465 | Reward: -14.19 | Steps: 5184
Episode 466 | Reward: -20.16 | Steps: 5199
Episode 467 | Reward: -35.18 | Steps: 5214
Episode 468 | Reward: -8.15 | Steps: 5221
Episode 469 | Reward: -11.19 | Steps: 5230
Episode 470 | Reward: -17.23 | Steps: 5237
Episode 471 | Reward: -10.18 | Steps: 5246
Episode 472 | Reward: -18.26 | Steps: 5260
Episode 473 | Reward: -32.24 | Steps: 5275
Episode 474 | Reward: -12.14 | Steps: 5285
Episode 475 | Reward: -28.18 | Steps: 5300
Episode 476 | Reward: -24.16 | Steps: 5315
Episode 477 | Reward: -30.26 | Steps: 5330
Episode 478 | Reward: -31.16 | Steps: 5345
Episode 479 | Reward: -12.19 | Steps: 5354
Episode 480 | Reward: -15.25 | Steps: 5368
Episode 481 | Reward: -15.16 | Steps: 5375
Episode 482 | Reward: -22.22 | Steps: 5390
Episode 483 | Reward: -14.26 | Steps: 5405
Episode 484 | Reward: -17.19 | Steps: 5419
Episode 485 | Reward: -32.20 | Steps: 5432
Episode 486 | Reward: -12.23 | Steps: 5440
Episode 487 | Reward: -29.20 | Steps: 5455
Episode 488 | Reward: -39.17 | Steps: 5470
Episode 489 | Reward: -29.15 | Steps: 5485
Episode 490 | Reward: -23.22 | Steps: 5498
Episode 491 | Reward: -35.26 | Steps: 5513
Episode 492 | Reward: -32.21 | Steps: 5528
Episode 493 | Reward: -10.14 | Steps: 5529
Episode 494 | Reward: -17.13 | Steps: 5544
Episode 495 | Reward: -23.21 | Steps: 5559
Episode 496 | Reward: -8.23 | Steps: 5568
Episode 497 | Reward: -17.14 | Steps: 5576
Episode 498 | Reward: -26.24 | Steps: 5591
Episode 499 | Reward: -24.13 | Steps: 5606
Episode 500 | Reward: -29.22 | Steps: 5621
Saving models to checkpoints/sac_checkpoint_clutter_500.pth
Episode 501 | Reward: -16.15 | Steps: 5630
Episode 502 | Reward: -4.13 | Steps: 5632
Episode 503 | Reward: -27.18 | Steps: 5647
Episode 504 | Reward: -25.18 | Steps: 5662
Episode 505 | Reward: -12.13 | Steps: 5667
Episode 506 | Reward: -17.21 | Steps: 5679
Episode 507 | Reward: -29.21 | Steps: 5694
Episode 508 | Reward: -19.30 | Steps: 5703
Episode 509 | Reward: -17.22 | Steps: 5717
Episode 510 | Reward: -30.29 | Steps: 5732
Episode 511 | Reward: -26.20 | Steps: 5747
Episode 512 | Reward: -36.17 | Steps: 5762
Episode 513 | Reward: -22.20 | Steps: 5774
Episode 514 | Reward: -7.18 | Steps: 5775
Episode 515 | Reward: -8.16 | Steps: 5777
Episode 516 | Reward: -42.22 | Steps: 5792
Episode 517 | Reward: -12.37 | Steps: 5799
Episode 518 | Reward: -25.38 | Steps: 5814
Episode 519 | Reward: -18.18 | Steps: 5823
Episode 520 | Reward: -33.18 | Steps: 5838
Episode 521 | Reward: -26.28 | Steps: 5852
Episode 522 | Reward: -35.19 | Steps: 5867
Episode 523 | Reward: -28.15 | Steps: 5882
Episode 524 | Reward: -33.18 | Steps: 5897
Episode 525 | Reward: -14.16 | Steps: 5910
Episode 526 | Reward: -35.15 | Steps: 5925
Episode 527 | Reward: -31.15 | Steps: 5940
Episode 528 | Reward: -30.20 | Steps: 5955
Episode 529 | Reward: -30.21 | Steps: 5970
Episode 530 | Reward: -17.19 | Steps: 5984
Episode 531 | Reward: -25.19 | Steps: 5999
Episode 532 | Reward: -23.14 | Steps: 6014
Episode 533 | Reward: -14.14 | Steps: 6020
Episode 534 | Reward: -25.17 | Steps: 6032
Episode 535 | Reward: -25.23 | Steps: 6047
Episode 536 | Reward: -36.23 | Steps: 6062
Episode 537 | Reward: -17.18 | Steps: 6076
Episode 538 | Reward: -17.20 | Steps: 6079
Episode 539 | Reward: -22.23 | Steps: 6092
Episode 540 | Reward: -25.25 | Steps: 6107
Episode 541 | Reward: -14.20 | Steps: 6110
Episode 542 | Reward: -36.19 | Steps: 6125
Episode 543 | Reward: -10.22 | Steps: 6130
Episode 544 | Reward: -30.20 | Steps: 6145
Episode 545 | Reward: -15.14 | Steps: 6147
Episode 546 | Reward: -24.21 | Steps: 6160
Episode 547 | Reward: -27.28 | Steps: 6175
Episode 548 | Reward: -13.18 | Steps: 6187
Episode 549 | Reward: -11.13 | Steps: 6197
Episode 550 | Reward: -27.16 | Steps: 6203
Episode 551 | Reward: -26.22 | Steps: 6218
Episode 552 | Reward: -10.18 | Steps: 6228
Episode 553 | Reward: -37.22 | Steps: 6243
Episode 554 | Reward: -26.17 | Steps: 6258
Episode 555 | Reward: -12.13 | Steps: 6259
Episode 556 | Reward: -18.14 | Steps: 6271
Episode 557 | Reward: -32.20 | Steps: 6286
